                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.41014,                 0.3369,                0.80901,                0.99645,                      1,                  0.995,                0.86307,                0.58607,                0.32071,                0.95332,              0.0014773,              0.0014773,              0.0014773
                    134,                0.44323,                0.34069,                0.86224,                0.99656,                      1,                  0.995,                0.84651,                0.59936,                0.34592,                0.95621,              0.0014733,              0.0014733,              0.0014733
                    135,                0.46493,                 0.3469,                0.82551,                0.99659,                      1,                  0.995,                0.85007,                0.61022,                0.35126,                0.95904,              0.0014694,              0.0014694,              0.0014694
                    136,                0.45306,                0.35458,                0.84899,                0.99661,                      1,                  0.995,                0.84515,                0.59947,                0.32824,                0.96125,              0.0014654,              0.0014654,              0.0014654
                    137,                0.44961,                0.33853,                0.84673,                0.99655,                      1,                  0.995,                0.84407,                0.61682,                0.33296,                0.97045,              0.0014614,              0.0014614,              0.0014614
                    138,                0.42941,                0.35668,                0.82348,                0.99656,                      1,                  0.995,                0.85301,                 0.5953,                0.32876,                0.97148,              0.0014575,              0.0014575,              0.0014575
                    139,                0.46866,                 0.3652,                 0.8898,                0.99649,                      1,                  0.995,                0.86572,                0.57254,                0.30884,                0.95584,              0.0014535,              0.0014535,              0.0014535
                    140,                0.42421,                 0.3553,                0.82592,                0.99649,                      1,                  0.995,                0.87316,                0.55599,                0.30134,                0.94181,              0.0014496,              0.0014496,              0.0014496
                    141,                0.40616,                0.33152,                0.85588,                0.99653,                      1,                  0.995,                0.87245,                 0.5401,                0.31853,                0.93837,              0.0014456,              0.0014456,              0.0014456
                    142,                0.47605,                0.35253,                 0.8573,                0.99652,                      1,                  0.995,                0.87661,                0.53209,                0.30872,                0.93205,              0.0014416,              0.0014416,              0.0014416
                    143,                0.46001,                 0.3523,                0.85805,                0.99649,                      1,                  0.995,                0.88995,                 0.5288,                0.30662,                0.92807,              0.0014377,              0.0014377,              0.0014377
                    144,                0.48874,                0.35831,                 0.8757,                0.99645,                      1,                  0.995,                0.85257,                0.57425,                0.32157,                 0.9263,              0.0014337,              0.0014337,              0.0014337
                    145,                0.50154,                0.35563,                0.87729,                0.99601,                      1,                  0.995,                0.84165,                0.62238,                0.31459,                0.93559,              0.0014298,              0.0014298,              0.0014298
                    146,                0.45814,                0.35069,                0.84569,                0.99535,                      1,                  0.995,                0.87115,                0.61347,                0.32042,                0.94751,              0.0014258,              0.0014258,              0.0014258
                    147,                0.45806,                0.36426,                0.86493,                0.99553,                      1,                  0.995,                0.86895,                0.59179,                0.32981,                0.95204,              0.0014218,              0.0014218,              0.0014218
                    148,                0.45856,                0.35886,                0.84307,                0.99582,                      1,                  0.995,                 0.8767,                0.56019,                0.32546,                0.94722,              0.0014179,              0.0014179,              0.0014179
                    149,                 0.4326,                0.34442,                0.84176,                0.99577,                      1,                  0.995,                  0.871,                0.57697,                0.32421,                0.95737,              0.0014139,              0.0014139,              0.0014139
                    150,                0.42952,                0.33252,                0.83443,                0.99302,                      1,                  0.995,                0.87538,                0.56413,                 0.3354,                0.94562,                0.00141,                0.00141,                0.00141
                    151,                0.48741,                0.35441,                0.87012,                0.99021,                      1,                  0.995,                0.87545,                0.56687,                  0.375,                0.95437,               0.001406,               0.001406,               0.001406
                    152,                0.51006,                0.37021,                0.87787,                0.98767,                      1,                  0.995,                0.86302,                0.59122,                0.37677,                0.96764,               0.001402,               0.001402,               0.001402
                    153,                0.51391,                0.36716,                0.87941,                0.99154,                      1,                  0.995,                0.85214,                0.56783,                0.38151,                0.95716,              0.0013981,              0.0013981,              0.0013981
                    154,                0.46627,                0.36363,                0.85246,                0.99616,                      1,                  0.995,                0.86391,                0.55869,                0.36569,                0.95189,              0.0013941,              0.0013941,              0.0013941
                    155,                0.40847,                0.34595,                0.83866,                 0.9948,                      1,                  0.995,                0.86347,                0.56757,                0.38686,                0.94986,              0.0013902,              0.0013902,              0.0013902
